status_id,ss_headlines,headline,neg,neu,pos
1405630409737397_1508356679464769,-0.5719,Here are Some of the Things Mexicans Hate the Most,0.291,0.709,0
1405630409737397_1508388212794949,0,Colombian Pop Singer Grew Up Catholic and Now She’s Got a Song Called...,0,1,0
1405630409737397_1508422669458170,0.5574,These 13 Photos Will Make You Laugh Out Loud in Español,0,0.735,0.265
1405630409737397_1508469972786773,-0.7003,Crazy Revenge: How Bibi Took Down the Biggest Cartel after Her Husband...,0.367,0.633,0
1405630409737397_1508485272785243,0.2732,Eva Longoria Might Have Figured Out the Best Attack Against Trump on SNL,0.169,0.601,0.23
1405630409737397_1508520676115036,-0.2263,Watch the U.S./Mexico Border Wall Disappear,0.275,0.725,0
1405630409737397_1508533816113722,-0.886,"Rape, Murder, Kidnapping: The Reality of Teenage Girls in El Salvador",0.511,0.489,0
1405630409737397_1508562096110894,0.4019,Why Do You Sound Smart if You Don’t Sound Latino?,0,0.769,0.231
1405630409737397_1508588016108302,-0.34,Discarded Items at U.S. / Mexico Border are Not What They Seem,0.194,0.806,0
1405630409737397_1508710342762736,0,11 Times Latino Gave Foil a New Purpose in Life,0,1,0
1405630409737397_1508745652759205,0,A Group of Students Made a Día de los Muertos Film and It’s Actually...,0,1,0
1405630409737397_1508774189423018,-0.128,Drought in Mexico Exposes a 16th Century Church,0.2,0.8,0
1405630409737397_1508797672754003,0,"If You Speak Spanish, You’ll Understand Some Arabic",0,1,0
1405630409737397_1508817646085339,0.5719,Sh*t You Get If You Don’t Speak Perfect Spanish,0,0.684,0.316
1405630409737397_1508829389417498,0.4215,"Russia, the United States, China, and Brazil Were Among the Countries...",0,0.781,0.219
1405630409737397_1508860199414417,0.5267,"Finally, Latinas with DDs Can Feel Sexy Under Their Clothes",0,0.726,0.274
1405630409737397_1508872436079860,0,15 Spanish Words that Don’t Technically Exist but We Use Every Day,0,1,0
1405630409737397_1508899786077125,-0.5106,Listen to What Día de los Muertos Means to Teens Serving Life in Prison,0.202,0.798,0
1405630409737397_1508939039406533,0,How Does Someone become a Musical Superstar without Singing? Ask Beto...,0,1,0
1405630409737397_1509052396061864,-0.5994,Mexico Has No Problem Admitting They Stole These Telenovelas,0.412,0.588,0
1405630409737397_1509093336057770,0,You Never Say These Things to a Latina You’re Dating,0,1,0
1405630409737397_1509118792721891,0.5095,15 Photos of the Most Clever Couples’ Costumes from Halloween,0,0.732,0.268
1405630409737397_1509152102718560,0,This Nursing Student Sued Her College because Her Classmates Spoke Spanish,0,1,0
1405630409737397_1509168452716925,0.8316,Quiz: Only A True Selena Fan Can Get A Perfect Score on this Quiz,0,0.506,0.494
1405630409737397_1509194249381012,0.7964,Edinson Volquez on How You Celebrate Winning the World Series After Your...,0,0.585,0.415
1405630409737397_1509386632695107,0,These Flaca GIFs Are All You Need to Get Your Point Across,0,1,0
1405630409737397_1509598409340596,0,Quiz: Are You a Chancla or a Stiletto?,0,1,0
1405630409737397_1509693699331067,0.4019,You Couldn’t Go to a Family Party Without Hearing All This S••t From Mom,0,0.816,0.184
1405630409737397_1509785639321873,0,My Life Began When My Brother Took His,0,1,0
1405630409737397_1509862632647507,-0.2584,Proof that Latinos Don't Play When It Comes to Cakes,0.184,0.816,0
1405630409737397_1509921855974918,0.34,"Sorry Justin, Selena Gomez is Definitely Over You",0.13,0.6,0.27
1405630409737397_1509948072638963,0,"If You’re Latina, You Have These 14 Types of Primas",0,1,0
1405630409737397_1510000475967056,0,Latinos Pushed Out of One of San Francisco’s Coolest Neighborhoods,0,1,0
1405630409737397_1510028355964268,0,How Kylie Stole the Latina Look,0,1,0
1405630409737397_1510087009291736,0.5267,Ultimate Style Guide to Nailing Tomboy Sexy,0,0.638,0.362
1405630409737397_1510134872620283,0,Mexico Uses the US as an Example in Trying to Legalize Weed,0,1,0
1405630409737397_1510258519274585,0.3612,11 Times Starbucks Butchered Latino Names Like It was Nothing,0,0.783,0.217
1405630409737397_1510295615937542,0.6369,These Latino Boyfriends are the Best Thing We Never Had,0,0.682,0.318
1405630409737397_1510333792600391,0,A New Documentary Tells the Story of Latinas Who Were Sterilized Without...,0,1,0
1405630409737397_1510368559263581,0.5106,How A Plus-Size Latina Model is Using Social Media to Encourage Women to...,0,0.769,0.231
1405630409737397_1510396889260748,0,The Kardashians: Reimagined as Mexicanas,0,1,0
1405630409737397_1510411542592616,0,A Bunch of Dudes from Texas are Mixing Punk Rock with Norteñas,0,1,0
1405630409737397_1510448445922259,0,These Are the Things You Hear Whenever You Drive Around with Your...,0,1,0
1405630409737397_1510494025917701,0,A Gang Member from San Diego and a Punk from TJ are the Creators of...,0,1,0
1405630409737397_1510522015914902,0.6369,Bruno Mars Makes Us Believe in Love Again,0,0.625,0.375
1405630409737397_1510638142569956,0.5106,She Drank and Smoked Weed at 12; Now She’s Finally Comfortable in Her...,0,0.784,0.216
1405630409737397_1510674445899659,0.5994,The Power in Loving Your Naked Body,0,0.606,0.394
1405630409737397_1510705989229838,0,How Carlos Pena Vega Became DWTS's Most Noticed Competitor,0,1,0
1405630409737397_1510738499226587,-0.3612,11 Things Latinos Need to Stop Apologizing For,0.368,0.632,0
1405630409737397_1510768755890228,0.4588,These Are The Latinas You’re Glad You Left In the Past,0,0.769,0.231
1405630409737397_1510783395888764,-0.4201,The Most Ridiculous Things Our Parents Told Us NOT to Do Because “Eso No...,0.177,0.823,0
